group_type,group_label,n,mean_width_t0,mean_width_t1,coverage_factual,auc_factual,n_test,n_decide_t0,n_decide_t1,n_abstain,mean_regret_decided,p90_regret_decided,max_regret_decided
careunit,first_careunit_Cardiac Vascular Intensive Care Unit (CVICU),2326,0.16952408240387826,0.3809410881805886,0.9634565778159931,0.7593815585363629,2326,862,131,1333,0.0,0.0,0.0
careunit,first_careunit_Coronary Care Unit (CCU),1515,0.21876681242846713,0.3716602825712127,0.7848184818481848,0.6891776466680375,1515,257,1033,225,0.0,0.0,0.0
careunit,first_careunit_Intensive Care Unit (ICU),2,0.1172405116461469,0.4624074286036929,0.0,1.0,2,2,0,0,0.0,0.0,0.0
careunit,first_careunit_Medical Intensive Care Unit (MICU),2442,0.22150372159090195,0.38454806725392426,0.6674856674856675,0.6640885251427666,2442,315,1915,212,0.0,0.0,0.0
careunit,first_careunit_Medical/Surgical Intensive Care Unit (MICU/SICU),2029,0.217152461574653,0.38097902191180366,0.7225234105470675,0.6973885310584675,2029,421,1433,175,0.0,0.0,0.0
careunit,first_careunit_Medicine,4,0.12220098161507542,0.4076895857956152,0.25,,4,2,0,2,0.0,0.0,0.0
careunit,first_careunit_Neuro Intermediate,862,0.1643334243020663,0.3200443066463951,0.9802784222737819,0.7336232671921719,862,9,89,764,0.0,0.0,0.0
careunit,first_careunit_Neuro Stepdown,232,0.15068939585742253,0.2723684487234726,0.9827586206896551,0.8037280701754386,232,0,6,226,0.0,0.0,0.0
careunit,first_careunit_Neuro Surgical Intensive Care Unit (Neuro SICU),262,0.2094560535878734,0.42124955552990867,0.32061068702290074,0.7116751269035533,262,84,157,21,0.0,0.0,0.0
careunit,first_careunit_Neurology,1,0.20903430657371536,0.46240742860369294,0.0,,1,0,1,0,0.0,0.0,0.0
careunit,first_careunit_PACU,10,0.226585803838178,0.4246465423120897,0.6,0.6666666666666667,10,0,10,0,0.0,0.0,0.0
careunit,first_careunit_Surgery/Vascular/Intermediate,19,0.19738589855947203,0.3998427846982841,0.5789473684210527,0.5666666666666667,19,5,1,13,0.0,0.0,0.0
careunit,first_careunit_Surgical Intensive Care Unit (SICU),1803,0.20742536853314048,0.3808870713662874,0.7936772046589018,0.7318979320876854,1803,460,1022,321,0.0,0.0,0.0
careunit,first_careunit_Trauma SICU (TSICU),1567,0.20989392156811673,0.36764327492208515,0.8117421825143587,0.7372388244481268,1567,412,900,255,0.0,0.0,0.0
